text_orig,text_strp_unicode,text_strp_punct
feb,feb,feb
<<year>>,<<year>>,<<year>>
-,-,
anant,anant,anant
pratap,pratap,pratap
deo,deo,deo
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
see,see,see
also,also,also
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
eastern,eastern,eastern
state,state,state
agency,agency,agency
history,history,history
of,of,of
kalahandi,kalahandi,kalahandi
political,political,political
integration,integration,integration
of,of,of
india,india,india
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
references,references,references
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
external,external,external
links,links,links
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
aftermath,aftermath,aftermath
of,of,of
merger,merger,merger
of,of,of
princely,princely,princely
state,state,state
in,in,in
orissa,orissa,orissa
category,category,category
:,:,
princely,princely,princely
state,state,state
of,of,of
india,india,india
category,category,category
:,:,
history,history,history
of,of,of
odisha,odisha,odisha
category,category,category
:,:,
kalahandi,kalahandi,kalahandi
district,district,district
category,category,category
:,:,
rajput,rajput,rajput
category,category,category
:,:,
state,state,state
and,and,and
territory,territory,territory
disestablished,disestablished,disestablished
in,in,in
<<year>>,<<year>>,<<year>>
<<article_end>>,<<article_end>>,<<article_end>>
<<article_start>>,<<article_start>>,<<article_start>>
,,
the,the,the
kingdom,kingdom,kingdom
of,of,of
córdoba,crdoba,crdoba
(,(,
reino,reino,reino
de,de,de
córdoba,crdoba,crdoba
;,;,
english,english,english
often,often,often
:,:,
kingdom,kingdom,kingdom
of,of,of
cordova,cordova,cordova
),),
wa,wa,wa
a,a,a
territorial,territorial,territorial
jurisdiction,jurisdiction,jurisdiction
of,of,of
the,the,the
crown,crown,crown
of,of,of
castile,castile,castile
since,since,since
<<year>>,<<year>>,<<year>>
until,until,until
javier,javier,javier
de,de,de
burgos,burgos,burgos
',',
province,province,province
of,of,of
spain,spain,spain
division,division,division
of,of,of
spain,spain,spain
in,in,in
<<year>>,<<year>>,<<year>>
.,.,
this,this,this
wa,wa,wa
a,a,a
``,``,
kingdom,kingdom,kingdom
'','',
(,(,
``,``,
reino,reino,reino
'','',
),),
in,in,in
the,the,the
second,second,second
sense,sense,sense
given,given,given
by,by,by
the,the,the
diccionario,diccionario,diccionario
de,de,de
la,la,la
lengua,lengua,lengua
española,espaola,espaola
de,de,de
la,la,la
real,real,real
academia,academia,academia
española,espaola,espaola
:,:,
the,the,the
crown,crown,crown
of,of,of
castile,castile,castile
consisted,consisted,consisted
of,of,of
several,several,several
such,such,such
kingdom,kingdom,kingdom
.,.,
córdoba,crdoba,crdoba
wa,wa,wa
one,one,one
of,of,of
the,the,the
four,four,four
kingdom,kingdom,kingdom
of,of,of
andalusia,andalusia,andalusia
.,.,
it,it,it
extent,extent,extent
is,is,is
detailed,detailed,detailed
in,in,in
respuestas,respuestas,respuestas
generales,generales,generales
del,del,del
catastro,catastro,catastro
of,of,of
ensenada,ensenada,ensenada
(,(,
<<year>>,<<year>>,<<year>>
),),
",",",",
which,which,which
wa,wa,wa
part,part,part
of,of,of
the,the,the
documentation,documentation,documentation
of,of,of
a,a,a
census,census,census
.,.,
like,like,like
the,the,the
other,other,other
kingdom,kingdom,kingdom
within,within,within
spain,spain,spain
",",",",
the,the,the
kingdom,kingdom,kingdom
of,of,of
córdoba,crdoba,crdoba
wa,wa,wa
abolished,abolished,abolished
by,by,by
the,the,the
<<year>>,<<year>>,<<year>>
territorial,territorial,territorial
division,division,division
of,of,of
spain,spain,spain
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
see,see,see
also,also,also
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
córdoba,crdoba,crdoba
",",",",
spain,spain,spain
:,:,
e,e,e
:,:,
anexo,anexo,anexo
:,:,
localidades,localidades,localidades
del,del,del
reino,reino,reino
de,de,de
córdoba,crdoba,crdoba
",",",",
a,a,a
list,list,list
of,of,of
the,the,the
locality,locality,locality
that,that,that
composed,composed,composed
the,the,the
kingdom,kingdom,kingdom
of,of,of
jaén,jan,jan
",",",",
according,according,according
to,to,to
the,the,the
catastro,catastro,catastro
of,of,of
ensenada,ensenada,ensenada
(,(,
<<year>>,<<year>>,<<year>>
),),
;,;,
this,this,this
page,page,page
is,is,is
an,an,an
appendix,appendix,appendix
to,to,to
the,the,the
spanish-language,spanish-language,spanishlanguage
wikipedia,wikipedia,wikipedia
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
references,references,references
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
category,category,category
:,:,
history,history,history
of,of,of
córdoba,crdoba,crdoba
",",",",
spain,spain,spain
<<article_end>>,<<article_end>>,<<article_end>>
<<article_start>>,<<article_start>>,<<article_start>>
,,
the,the,the
zamorin,zamorin,zamorin
of,of,of
calicut,calicut,calicut
(,(,
malayalam,malayalam,malayalam
language,language,language
:,:,
samoothiri,samoothiri,samoothiri
",",",",
portuguese,portuguese,portuguese
language,language,language
:,:,
samorim,samorim,samorim
",",",",
dutch,dutch,dutch
language,language,language
:,:,
samorijn,samorijn,samorijn
",",",",
chinese,chinese,chinese
language,language,language
:,:,
shamitihsi,shamitihsi,shamitihsi
),),
wa,wa,wa
the,the,the
hereditary,hereditary,hereditary
monarch,monarch,monarch
of,of,of
the,the,the
kingdom,kingdom,kingdom
of,of,of
kozhikode,kozhikode,kozhikode
(,(,
calicut,calicut,calicut
),),
on,on,on
the,the,the
malabar,malabar,malabar
coast,coast,coast
of,of,of
india,india,india
.,.,
kozhikode,kozhikode,kozhikode
wa,wa,wa
one,one,one
of,of,of
the,the,the
important,important,important
trading,trading,trading
port,port,port
on,on,on
the,the,the
south-western,south-western,southwestern
coast,coast,coast
of,of,of
india,india,india
.,.,
at,at,at
the,the,the
peak,peak,peak
of,of,of
their,their,their
reign,reign,reign
",",",",
the,the,the
samoothiri,samoothiri,samoothiri
's,'s,s
ruled,ruled,ruled
over,over,over
a,a,a
region,region,region
from,from,from
kollam,kollam,kollam
(,(,
quilon,quilon,quilon
),),
to,to,to
panthalayini,panthalayini,panthalayini
kollam,kollam,kollam
(,(,
koyilandy,koyilandy,koyilandy
),),
.,.,
it,it,it
wa,wa,wa
after,after,after
the,the,the
dissolution,dissolution,dissolution
of,of,of
the,the,the
kingdom,kingdom,kingdom
of,of,of
cheras,cheras,cheras
of,of,of
kodungallur,kodungallur,kodungallur
in,in,in
the,the,the
early,early,early
<<number>>,<<number>>,<<number>>
century,century,century
",",",",
the,the,the
eradis,eradis,eradis
of,of,of
nediyiruppu,nediyiruppu,nediyiruppu
(,(,
originally,originally,originally
autonomous,autonomous,autonomous
chief,chief,chief
of,of,of
eranad,eranad,eranad
(,(,
tehsil,tehsil,tehsil
),),
),),
demonstrated,demonstrated,demonstrated
their,their,their
political,political,political
independence,independence,independence
under,under,under
the,the,the
title,title,title
of,of,of
samoothiri,samoothiri,samoothiri
.,.,
the,the,the
samoothiris,samoothiris,samoothiris
maintained,maintained,maintained
elaborate,elaborate,elaborate
trade,trade,trade
relation,relation,relation
with,with,with
the,the,the
muslim,muslim,muslim
middle-eastern,middle-eastern,middleeastern
sailor,sailor,sailor
in,in,in
the,the,the
indian,indian,indian
ocean,ocean,ocean
",",",",
the,the,the
primary,primary,primary
spice,spice,spice
trader,trader,trader
on,on,on
the,the,the
malabar,malabar,malabar
coast,coast,coast
in,in,in
the,the,the
middle,middle,middle
age,age,age
.,.,
kozhikode,kozhikode,kozhikode
wa,wa,wa
then,then,then
an,an,an
important,important,important
entrepôt,entrept,entrept
in,in,in
south-western,south-western,southwestern
india,india,india
where,where,where
chinese,chinese,chinese
and,and,and
west,west,west
asian,asian,asian
trade,trade,trade
met,met,met
.,.,
the,the,the
portuguese,portuguese,portuguese
navigator,navigator,navigator
vasco,vasco,vasco
da,da,da
gama,gama,gama
visited,visited,visited
the,the,the
kozhikode,kozhikode,kozhikode
in,in,in
<<year>>,<<year>>,<<year>>
",",",",
opening,opening,opening
the,the,the
sailing,sailing,sailing
route,route,route
directly,directly,directly
from,from,from
europe,europe,europe
to,to,to
asia,asia,asia
.,.,
in,in,in
<<year>>,<<year>>,<<year>>
",",",",
hyder,hyder,hyder
ali,ali,ali
of,of,of
kingdom,kingdom,kingdom
of,of,of
mysore,mysore,mysore
defeated,defeated,defeated
the,the,the
samoothiri,samoothiri,samoothiri
of,of,of
kozhikode,kozhikode,kozhikode
–,,
an,an,an
east,east,east
india,india,india
company,company,company
ally,ally,ally
at,at,at
the,the,the
time,time,time
–,,
and,and,and
absorbed,absorbed,absorbed
kozhikode,kozhikode,kozhikode
to,to,to
his,his,his
state,state,state
.,.,
after,after,after
the,the,the
third,third,third
mysore,mysore,mysore
war,war,war
(,(,
<<year>>–1792,<<year>>1792,<<year>>1792
),),
",",",",
malabar,malabar,malabar
wa,wa,wa
placed,placed,placed
under,under,under
the,the,the
control,control,control
of,of,of
the,the,the
company,company,company
.,.,
eventually,eventually,eventually
",",",",
the,the,the
status,status,status
of,of,of
the,the,the
samoothiri,samoothiri,samoothiri
wa,wa,wa
reduced,reduced,reduced
to,to,to
that,that,that
of,of,of
a,a,a
pensioner,pensioner,pensioner
of,of,of
the,the,the
company,company,company
(,(,
<<year>>,<<year>>,<<year>>
),),
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
etymology,etymology,etymology
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
the,the,the
title,title,title
zamorin,zamorin,zamorin
first,first,first
appears,appears,appears
in,in,in
the,the,the
writing,writing,writing
of,of,of
ibn,ibn,ibn
battuta,battuta,battuta
in,in,in
<<year>>,<<year>>,<<year>>
.,.,
in,in,in
the,the,the
portuguese,portuguese,portuguese
duarte,duarte,duarte
barbosa,barbosa,barbosa
(,(,
c.,c.,c
<<year>>,<<year>>,<<year>>
),),
",",",",
the,the,the
title,title,title
of,of,of
the,the,the
ruler,ruler,ruler
of,of,of
calicut,calicut,calicut
is,is,is
given,given,given
a,a,a
çamidre,amidre,amidre
or,or,or
zomodri,zomodri,zomodri
",",",",
derived,derived,derived
from,from,from
the,the,the
local,local,local
malayalam,malayalam,malayalam
samoothiri,samoothiri,samoothiri
or,or,or
sāmūtiri,smtiri,smtiri
.,.,
this,this,this
wa,wa,wa
once,once,once
thought,thought,thought
to,to,to
be,be,be
derived,derived,derived
from,from,from
sanskrit,sanskrit,sanskrit
samudra,samudra,samudra
(,(,
``,``,
sea,sea,sea
'','',
),),
and,and,and
have,have,have
the,the,the
meaning,meaning,meaning
``,``,
lord,lord,lord
of,of,of
the,the,the
sea,sea,sea
'','',
.,.,
in,in,in
fact,fact,fact
",",",",
the,the,the
term,term,term
derives,derives,derives
from,from,from
sanskrit,sanskrit,sanskrit
swami,swami,swami
and,and,and
sri,sri,sri
(,(,
which,which,which
in,in,in
combined,combined,combined
form,form,form
becomes,becomes,becomes
tiri,tiri,tiri
),),
",",",",
which,which,which
k.,k.,k
v.,v.,v
krishna,krishna,krishna
ayyar,ayyar,ayyar
gloss,gloss,gloss
a,a,a
``,``,
emperor,emperor,emperor
'','',
.,.,
he,he,he
give,give,give
the,the,the
complete,complete,complete
title,title,title
a,a,a
svami,svami,svami
tiri,tiri,tiri
tirumulapad,tirumulapad,tirumulapad
(,(,
``,``,
august,august,august
emperor,emperor,emperor
'','',
),),
.,.,
the,the,the
samoothiris,samoothiris,samoothiris
used,used,used
the,the,the
title,title,title
punturakkon,punturakkon,punturakkon
or,or,or
punthurakon,punthurakon,punthurakon
(,(,
victor/lord,victor/lord,victorlord
of,of,of
punthura,punthura,punthura
?,?,
),),
in,in,in
inscription,inscription,inscription
from,from,from
c.,c.,c
<<year>>,<<year>>,<<year>>
",",",",
in,in,in
palace,palace,palace
record,record,record
known,known,known
a,a,a
the,the,the
granthavaris,granthavaris,granthavaris
",",",",
and,and,and
in,in,in
official,official,official
treaty,treaty,treaty
with,with,with
the,the,the
english,english,english
and,and,and
the,the,the
dutch,dutch,dutch
.,.,
no,no,no
record,record,record
indicate,indicate,indicate
the,the,the
actual,actual,actual
personal,personal,personal
name,name,name
of,of,of
the,the,the
ruler,ruler,ruler
.,.,
punthura,punthura,punthura
may,may,may
be,be,be
the,the,the
place,place,place
of,of,of
their,their,their
origin,origin,origin
",",",",
or,or,or
a,a,a
battle-field,battle-field,battlefield
",",",",
or,or,or
a,a,a
port,port,port
of,of,of
great,great,great
fame,fame,fame
.,.,
the,the,the
title,title,title
``,``,
kunnalakkon,kunnalakkon,kunnalakkon
'','',
(,(,
``,``,
lord,lord,lord
of,of,of
hill,hill,hill
and,and,and
wave,wave,wave
'','',
),),
and,and,and
it,it,it
sanskrit,sanskrit,sanskrit
form,form,form
``,``,
shailabdhishvara,shailabdhishvara,shailabdhishvara
'','',
are,are,are
mostly,mostly,mostly
found,found,found
in,in,in
later,later,later
literary,literary,literary
work,work,work
(,(,
such,such,such
a,a,a
manipravalam,manipravalam,manipravalam
and,and,and
sanskrit,sanskrit,sanskrit
poem,poem,poem
),),
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
seat,seat,seat
of,of,of
power,power,power
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
thrikkavil,thrikkavil,thrikkavil
kovilakam,kovilakam,kovilakam
in,in,in
ponnani,ponnani,ponnani
served,served,served
a,a,a
a,a,a
second,second,second
home,home,home
for,for,for
the,the,the
samoothiris,samoothiris,samoothiris
of,of,of
kozhikode,kozhikode,kozhikode
.,.,
other,other,other
secondary,secondary,secondary
seat,seat,seat
of,of,of
the,the,the
samoothiri,samoothiri,samoothiri
of,of,of
kozhikode,kozhikode,kozhikode
",",",",
all,all,all
established,established,established
at,at,at
much,much,much
later,later,later
time,time,time
",",",",
were,were,were
trichur,trichur,trichur
(,(,
thrissur,thrissur,thrissur
),),
and,and,and
cranganore,cranganore,cranganore
(,(,
kodungallur,kodungallur,kodungallur
),),
.,.,
the,the,the
chief,chief,chief
kerala,kerala,kerala
port,port,port
under,under,under
control,control,control
of,of,of
the,the,the
samoothiris,samoothiris,samoothiris
in,in,in
the,the,the
late,late,late
<<number>>,<<number>>,<<number>>
century,century,century
were,were,were
panthalayini,panthalayini,panthalayini
kollam,kollam,kollam
",",",",
and,and,and
calicut,calicut,calicut
.,.,
the,the,the
samoothiri,samoothiri,samoothiri
of,of,of
kozhikode,kozhikode,kozhikode
derived,derived,derived
greater,greater,greater
part,part,part
of,of,of
his,his,his
revenue,revenue,revenue
by,by,by
taxing,taxing,taxing
the,the,the
spice,spice,spice
trade,trade,trade
through,through,through
his,his,his
port,port,port
.,.,
smaller,smaller,smaller
port,port,port
in,in,in
the,the,the
kingdom,kingdom,kingdom
were,were,were
puthuppattanam,puthuppattanam,puthuppattanam
(,(,
kottakkal,kottakkal,kottakkal
),),
",",",",
parappanangadi,parappanangadi,parappanangadi
",",",",
tanur,tanur,tanur
",",",",
malappuram,malappuram,malappuram
tanur,tanur,tanur
(,(,
tanore,tanore,tanore
),),
",",",",
ponnani,ponnani,ponnani
ponnani,ponnani,ponnani
(,(,
ponani,ponani,ponani
),),
",",",",
chetuva,chetuva,chetuva
chetuva,chetuva,chetuva
(,(,
chetwai,chetwai,chetwai
),),
and,and,and
cranganore,cranganore,cranganore
kodungallur,kodungallur,kodungallur
(,(,
cranganore,cranganore,cranganore
),),
.,.,
the,the,the
port,port,port
of,of,of
beypore,beypore,beypore
served,served,served
a,a,a
a,a,a
ship,ship,ship
building,building,building
center,center,center
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
kozhikode,kozhikode,kozhikode
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
the,the,the
port,port,port
at,at,at
kozhikode,kozhikode,kozhikode
held,held,held
the,the,the
superior,superior,superior
economic,economic,economic
and,and,and
political,political,political
position,position,position
in,in,in
kerala,kerala,kerala
",",",",
while,while,while
kollam,kollam,kollam
(,(,
quilon,quilon,quilon
),),
",",",",
kochi,kochi,kochi
and,and,and
kannur,kannur,kannur
(,(,
cannanore,cannanore,cannanore
),),
were,were,were
commercially,commercially,commercially
confined,confined,confined
to,to,to
secondary,secondary,secondary
role,role,role
.,.,
traveller,traveller,traveller
have,have,have
called,called,called
the,the,the
city,city,city
by,by,by
different,different,different
name,name,name
–,,
variation,variation,variation
of,of,of
the,the,the
malayalam,malayalam,malayalam
name,name,name
.,.,
the,the,the
traveller,traveller,traveller
from,from,from
middle-east,middle-east,middleeast
called,called,called
it,it,it
``,``,
kalikooth,kalikooth,kalikooth
'','',
",",",",
tamil,tamil,tamil
people,people,people
called,called,called
the,the,the
city,city,city
``,``,
kallikkottai,kallikkottai,kallikkottai
'','',
",",",",
for,for,for
the,the,the
chinese,chinese,chinese
people,people,people
it,it,it
wa,wa,wa
``,``,
kalifo,kalifo,kalifo
'','',
or,or,or
``,``,
quli,quli,quli
'','',
.,.,
in,in,in
the,the,the
middle,middle,middle
age,age,age
",",",",
kozhikode,kozhikode,kozhikode
wa,wa,wa
dubbed,dubbed,dubbed
the,the,the
``,``,
city,city,city
of,of,of
spice,spice,spice
'','',
for,for,for
it,it,it
role,role,role
a,a,a
the,the,the
major,major,major
trading,trading,trading
point,point,point
of,of,of
spice,spice,spice
trade,trade,trade
.,.,
the,the,the
chinese,chinese,chinese
and,and,and
middle-eastern,middle-eastern,middleeastern
interest,interest,interest
in,in,in
malabar,malabar,malabar
",",",",
the,the,the
political,political,political
ambition,ambition,ambition
of,of,of
the,the,the
newly,newly,newly
emergent,emergent,emergent
ruler,ruler,ruler
",",",",
i.e.,i.e.,ie
",",",",
the,the,the
samoothiris,samoothiris,samoothiris
",",",",
and,and,and
the,the,the
decline,decline,decline
of,of,of
port,port,port
kodungallur,kodungallur,kodungallur
(,(,
c.,c.,c
<<year>>,<<year>>,<<year>>
ad,ad,ad
),),
",",",",
etc,etc,etc
.,.,
boosted,boosted,boosted
the,the,the
prosperity,prosperity,prosperity
of,of,of
the,the,the
port,port,port
.,.,
the,the,the
rise,rise,rise
of,of,of
the,the,the
kozhikode,kozhikode,kozhikode
",",",",
both,both,both
the,the,the
port,port,port
and,and,and
the,the,the
state,state,state
",",",",
seems,seems,seems
to,to,to
have,have,have
taken,taken,taken
place,place,place
only,only,only
after,after,after
the,the,the
<<number>>,<<number>>,<<number>>
century,century,century
ad,ad,ad
.,.,
kozhikode,kozhikode,kozhikode
",",",",
despite,despite,despite
being,being,being
located,located,located
at,at,at
a,a,a
geographically,geographically,geographically
inconvenient,inconvenient,inconvenient
spot,spot,spot
",",",",
owed,owed,owed
much,much,much
of,of,of
it,it,it
prosperity,prosperity,prosperity
to,to,to
the,the,the
economic,economic,economic
policy,policy,policy
of,of,of
the,the,the
samoothiris,samoothiris,samoothiris
of,of,of
kozhikode,kozhikode,kozhikode
.,.,
trade,trade,trade
at,at,at
port,port,port
kozhikode,kozhikode,kozhikode
wa,wa,wa
managed,managed,managed
by,by,by
the,the,the
muslim,muslim,muslim
port,port,port
commissioner,commissioner,commissioner
known,known,known
a,a,a
the,the,the
shah,shah,shah
bandar,bandar,bandar
koya,koya,koya
.,.,
the,the,the
port,port,port
commissioner,commissioner,commissioner
supervised,supervised,supervised
the,the,the
custom,custom,custom
on,on,on
the,the,the
behalf,behalf,behalf
of,of,of
the,the,the
king,king,king
",",",",
fixed,fixed,fixed
the,the,the
price,price,price
of,of,of
the,the,the
commodity,commodity,commodity
and,and,and
collected,collected,collected
the,the,the
share,share,share
to,to,to
the,the,the
kozhikode,kozhikode,kozhikode
treasury,treasury,treasury
.,.,
the,the,the
name,name,name
of,of,of
the,the,the
famous,famous,famous
fine,fine,fine
variety,variety,variety
of,of,of
cotton,cotton,cotton
cloth,cloth,cloth
called,called,called
calico,calico,calico
(,(,
textile,textile,textile
),),
is,is,is
also,also,also
thought,thought,thought
to,to,to
have,have,have
derived,derived,derived
from,from,from
kozhikode,kozhikode,kozhikode
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
panthalayini,panthalayini,panthalayini
kollam,kollam,kollam
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
also,also,also
known,known,known
a,a,a
``,``,
fandarina,fandarina,fandarina
'','',
(,(,
ibn,ibn,ibn
battuta,battuta,battuta
),),
",",",",
and,and,and
``,``,
shaojunan,shaojunan,shaojunan
'','',
(,(,
daoyi,daoyi,daoyi
zgilue,zgilue,zgilue
),),
.,.,
located,located,located
north,north,north
of,of,of
kozhikode,kozhikode,kozhikode
",",",",
close,close,close
to,to,to
a,a,a
bay,bay,bay
.,.,
the,the,the
geographical,geographical,geographical
location,location,location
is,is,is
ideal,ideal,ideal
for,for,for
the,the,the
wintering,wintering,wintering
of,of,of
ship,ship,ship
during,during,during
the,the,the
annual,annual,annual
monsoon,monsoon,monsoon
rain,rain,rain
.,.,
presence,presence,presence
of,of,of
chetti,chetti,chetti
",",",",
arab,arab,arab
and,and,and
jewish,jewish,jewish
merchant,merchant,merchant
among,among,among
others,others,others
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
caste,caste,caste
and,and,and
line,line,line
of,of,of
succession,succession,succession
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
according,according,according
to,to,to
k.,k.,k
v.,v.,v
krishna,krishna,krishna
iyer,iyer,iyer
",",",",
the,the,the
court,court,court
historian,historian,historian
in,in,in
kozhikode,kozhikode,kozhikode
",",",",
the,the,the
member,member,member
of,of,of
the,the,the
royal,royal,royal
house,house,house
of,of,of
samoothiri,samoothiri,samoothiri
belonged,belonged,belonged
the,the,the
eradi,eradi,eradi
sub-caste,sub-caste,subcaste
of,of,of
nair,nair,nair
aristocracy.the,aristocracy.the,aristocracythe
samantas,samantas,samantas
claimed,claimed,claimed
a,a,a
status,status,status
higher,higher,higher
than,than,than
the,the,the
rest,rest,rest
of,of,of
the,the,the
nairs,nairs,nairs
.,.,
the,the,the
hindu,hindu,hindu
theological,theological,theological
formula,formula,formula
that,that,that
the,the,the
ruler,ruler,ruler
must,must,must
be,be,be
of,of,of
kshatriya,kshatriya,kshatriya
varna,varna,varna
(,(,
hinduism,hinduism,hinduism
),),
may,may,may
have,have,have
been,been,been
a,a,a
complication,complication,complication
for,for,for
the,the,the
samantas,samantas,samantas
of,of,of
the,the,the
kodungallur,kodungallur,kodungallur
chera,chera,chera
monarch,monarch,monarch
.,.,
so,so,so
the,the,the
samantas,samantas,samantas
–,,
already,already,already
crystallized,crystallized,crystallized
a,a,a
a,a,a
distinctive,distinctive,distinctive
social,social,social
group,group,group
",",",",
something,something,something
of,of,of
a,a,a
``,``,
sub-caste,sub-caste,subcaste
'','',
–,,
began,began,began
to,to,to
style,style,style
themselves,themselves,themselves
a,a,a
``,``,
samanta,samanta,samanta
kshatriya,kshatriya,kshatriya
'','',
.,.,
the,the,the
samantas,samantas,samantas
have,have,have
birth,birth,birth
",",",",
marriage,marriage,marriage
and,and,and
death,death,death
custom,custom,custom
identical,identical,identical
to,to,to
other,other,other
nair,nair,nair
community,community,community
.,.,
',',
in,in,in
the,the,the
royal,royal,royal
family,family,family
",",",",
thalis,thalis,thalis
of,of,of
the,the,the
princess,princess,princess
were,were,were
usually,usually,usually
tied,tied,tied
by,by,by
kshatriya,kshatriya,kshatriya
from,from,from
kodungallur,kodungallur,kodungallur
chief,chief,chief
's,'s,s
family,family,family
",",",",
which,which,which
the,the,the
samoothiri,samoothiri,samoothiri
recognised,recognised,recognised
a,a,a
more,more,more
ancient,ancient,ancient
and,and,and
therefore,therefore,therefore
higher,higher,higher
rank,rank,rank
.,.,
the,the,the
majority,majority,majority
of,of,of
the,the,the
woman,woman,woman
's,'s,s
sambandham,sambandham,sambandham
partner,partner,partner
were,were,were
nambudiri,nambudiri,nambudiri
brahmin,brahmin,brahmin
.,.,
the,the,the
family,family,family
of,of,of
chieftain,chieftain,chieftain
that,that,that
ruled,ruled,ruled
the,the,the
polity,polity,polity
in,in,in
premodern,premodern,premodern
kerala,kerala,kerala
wa,wa,wa
known,known,known
a,a,a
the,the,the
swaroopam,swaroopam,swaroopam
.,.,
the,the,the
ruler,ruler,ruler
of,of,of
kozhikode,kozhikode,kozhikode
belonged,belonged,belonged
to,to,to
``,``,
nediyirippu,nediyirippu,nediyirippu
swaroopam,swaroopam,swaroopam
'','',
and,and,and
followed,followed,followed
matriliny,matriliny,matriliny
system,system,system
of,of,of
inheritance,inheritance,inheritance
.,.,
the,the,the
eldest,eldest,eldest
male,male,male
member,member,member
of,of,of
nediyirippu,nediyirippu,nediyirippu
swaroopam,swaroopam,swaroopam
became,became,became
the,the,the
samoothiri,samoothiri,samoothiri
of,of,of
kozhikode,kozhikode,kozhikode
.,.,
there,there,there
wa,wa,wa
a,a,a
set,set,set
pattern,pattern,pattern
of,of,of
succession,succession,succession
",",",",
indicated,indicated,indicated
by,by,by
sthanams,sthanams,sthanams
in,in,in
the,the,the
royal,royal,royal
line,line,line
.,.,
five,five,five
sthanams,sthanams,sthanams
were,were,were
defined,defined,defined
in,in,in
kozhikode,kozhikode,kozhikode
.,.,
these,these,these
position,position,position
were,were,were
based,based,based
on,on,on
the,the,the
chronological,chronological,chronological
seniority,seniority,seniority
of,of,of
the,the,the
incumbent,incumbent,incumbent
in,in,in
the,the,the
different,different,different
thavazhis,thavazhis,thavazhis
of,of,of
the,the,the
swaroopam,swaroopam,swaroopam
and,and,and
constituted,constituted,constituted
what,what,what
is,is,is
called,called,called
in,in,in
the,the,the
record,record,record
a,a,a
``,``,
kuruvazhcha,kuruvazhcha,kuruvazhcha
'','',
.,.,
unlike,unlike,unlike
in,in,in
the,the,the
case,case,case
of,of,of
cochin,cochin,cochin
(,(,
kochi,kochi,kochi
),),
",",",",
there,there,there
wa,wa,wa
no,no,no
rotation,rotation,rotation
of,of,of
position,position,position
among,among,among
the,the,the
thavazhis,thavazhis,thavazhis
.,.,
thus,thus,thus
no,no,no
particular,particular,particular
thavazhi,thavazhi,thavazhi
enjoyed,enjoyed,enjoyed
any,any,any
privilege,privilege,privilege
or,or,or
precedence,precedence,precedence
in,in,in
the,the,the
matter,matter,matter
of,of,of
succession,succession,succession
",",",",
a,a,a
the,the,the
only,only,only
criterion,criterion,criterion
for,for,for
succession,succession,succession
wa,wa,wa
seniority,seniority,seniority
of,of,of
age,age,age
.,.,
five,five,five
sthanams,sthanams,sthanams
existed,existed,existed
in,in,in
kozhikode,kozhikode,kozhikode
",",",",
each,each,each
with,with,with
it,it,it
own,own,own
separate,separate,separate
property,property,property
enjoyed,enjoyed,enjoyed
in,in,in
succession,succession,succession
by,by,by
the,the,the
senior,senior,senior
member,member,member
of,of,of
the,the,the
three,three,three
kovilakams,kovilakams,kovilakams
of,of,of
the,the,the
family,family,family
.,.,
<<number>>,<<number>>,<<number>>
sthanam,sthanam,sthanam
:,:,
the,the,the
samoothiri,samoothiri,samoothiri
of,of,of
kozhikode,kozhikode,kozhikode
<<number>>,<<number>>,<<number>>
sthanam,sthanam,sthanam
:,:,
eranadu,eranadu,eranadu
ilamkur,ilamkur,ilamkur
nambiyathiri,nambiyathiri,nambiyathiri
thirumulpadu,thirumulpadu,thirumulpadu
(,(,
the,the,the
eralppadu,eralppadu,eralppadu
),),
.,.,
second,second,second
in,in,in
line,line,line
successor,successor,successor
to,to,to
the,the,the
throne,throne,throne
.,.,
eralppadu,eralppadu,eralppadu
's,'s,s
seat,seat,seat
wa,wa,wa
in,in,in
karimpuzha,karimpuzha,karimpuzha
(,(,
in,in,in
the,the,the
northeastern,northeastern,northeastern
region,region,region
of,of,of
the,the,the
present-day,present-day,presentday
palakkad,palakkad,palakkad
district,district,district
),),
.,.,
this,this,this
area,area,area
of,of,of
malabar,malabar,malabar
wa,wa,wa
annexed,annexed,annexed
